date,level,comment
2020-03-15,0,State of disaster
2020-03-23,5,Lockdown
2020-05-01,4,
2020-06-06,3,
2020-08-17,2,
2020-09-21,1,
2020-12-29,3,
2021-03-01,1,
2021-05-31,2,
2021-06-16,3,
2021-06-28,4,
